Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:16:01.252,3.375,0.00,0.00,0.00,,
2018-08-09 17:16:01.284,3.407,0.00,0.00,0.00,,
2018-08-09 17:16:01.300,3.423,0.00,0.00,0.00,,
2018-08-09 17:16:01.316,3.439,0.00,0.00,0.00,,
2018-08-09 17:16:01.332,3.455,0.00,0.00,0.00,,
2018-08-09 17:16:01.364,3.487,0.00,0.00,0.00,,
2018-08-09 17:16:01.379,3.502,0.00,0.00,0.00,,
2018-08-09 17:16:01.396,3.519,0.00,0.00,0.00,,
2018-08-09 17:16:01.412,3.535,0.00,0.00,0.00,,
2018-08-09 17:16:01.444,3.567,0.00,0.00,0.00,,
2018-08-09 17:16:01.459,3.582,0.00,0.00,0.00,,
2018-08-09 17:16:01.476,3.599,0.00,0.00,0.00,,
2018-08-09 17:16:01.492,3.615,0.00,0.00,0.00,,
2018-08-09 17:16:01.524,3.647,0.00,0.00,0.00,,
2018-08-09 17:16:01.539,3.662,0.00,0.00,0.00,,
2018-08-09 17:16:01.556,3.679,0.00,0.00,0.00,,
2018-08-09 17:16:01.572,3.695,0.00,0.00,0.00,,
2018-08-09 17:16:01.604,3.727,0.00,0.00,0.00,,
2018-08-09 17:16:01.619,3.742,0.00,0.00,0.00,,
2018-08-09 17:16:01.636,3.759,0.00,0.00,0.00,,
2018-08-09 17:16:01.652,3.775,0.00,0.00,0.00,,
2018-08-09 17:16:01.684,3.807,0.00,0.00,0.00,,
2018-08-09 17:16:01.699,3.822,0.00,0.00,0.00,,
2018-08-09 17:16:01.716,3.839,0.00,0.00,0.00,,
2018-08-09 17:16:01.731,3.854,0.00,0.00,0.00,,
2018-08-09 17:16:01.763,3.886,0.00,0.00,0.00,,
2018-08-09 17:16:01.779,3.902,0.00,0.00,0.00,,
2018-08-09 17:16:01.796,3.919,0.00,0.00,0.00,,
2018-08-09 17:16:01.811,3.934,0.00,0.00,0.00,,
2018-08-09 17:16:01.843,3.966,0.00,0.00,0.00,,
2018-08-09 17:16:01.859,3.982,0.00,0.00,0.00,,
2018-08-09 17:16:01.876,3.999,0.00,0.00,0.00,,
2018-08-09 17:16:01.892,4.015,0.00,0.00,0.00,,
2018-08-09 17:16:01.923,4.046,0.00,0.00,0.00,,
2018-08-09 17:16:01.939,4.062,0.00,0.00,0.00,,
2018-08-09 17:16:01.956,4.079,0.00,0.00,0.00,,
2018-08-09 17:16:01.971,4.094,0.00,0.00,0.00,,
2018-08-09 17:16:02.003,4.126,0.00,0.00,0.00,,
2018-08-09 17:16:02.019,4.142,0.00,0.00,0.00,,
2018-08-09 17:16:02.035,4.158,0.00,0.00,0.00,,
2018-08-09 17:16:02.051,4.174,0.00,0.00,0.00,,
2018-08-09 17:16:02.083,4.206,0.00,0.00,0.00,,
2018-08-09 17:16:02.099,4.222,0.00,0.00,0.00,,
2018-08-09 17:16:02.115,4.238,0.00,0.00,0.00,,
2018-08-09 17:16:02.131,4.254,0.00,0.00,0.00,,
2018-08-09 17:16:02.163,4.286,0.00,0.00,0.00,,
2018-08-09 17:16:02.179,4.302,0.00,0.00,0.00,,
2018-08-09 17:16:02.195,4.318,0.00,0.00,0.00,,
2018-08-09 17:16:02.211,4.334,0.00,0.00,0.00,,
2018-08-09 17:16:02.243,4.366,0.00,0.00,0.00,,
2018-08-09 17:16:02.259,4.382,0.00,0.00,0.00,,
2018-08-09 17:16:02.275,4.398,0.00,0.00,0.00,,
2018-08-09 17:16:02.291,4.414,0.00,0.00,0.00,,
2018-08-09 17:16:02.323,4.446,0.00,0.00,0.00,,
2018-08-09 17:16:02.339,4.462,0.00,0.00,0.00,,
2018-08-09 17:16:02.355,4.478,0.00,0.00,0.00,,
2018-08-09 17:16:02.371,4.494,0.00,0.00,0.00,,
2018-08-09 17:16:02.403,4.526,0.00,0.00,0.00,,
2018-08-09 17:16:02.419,4.542,0.00,0.00,0.00,,
2018-08-09 17:16:02.435,4.558,0.00,0.00,0.00,,
2018-08-09 17:16:02.451,4.574,0.00,0.00,0.00,,
2018-08-09 17:16:02.483,4.606,0.00,0.00,0.00,,
2018-08-09 17:16:02.499,4.622,0.00,0.00,0.00,,
2018-08-09 17:16:02.515,4.638,0.00,0.00,0.00,,
2018-08-09 17:16:02.531,4.654,0.00,0.00,0.00,,
2018-08-09 17:16:02.563,4.686,0.00,0.00,0.00,,
2018-08-09 17:16:02.579,4.702,0.00,0.00,0.00,,
2018-08-09 17:16:02.595,4.718,0.00,0.00,0.00,,
2018-08-09 17:16:02.611,4.734,0.00,0.00,0.00,,
2018-08-09 17:16:02.643,4.766,0.00,0.00,0.00,,
2018-08-09 17:16:02.659,4.782,0.00,0.00,0.00,,
2018-08-09 17:16:02.675,4.798,0.00,0.00,0.00,,
2018-08-09 17:16:02.691,4.814,0.00,0.00,0.00,,
2018-08-09 17:16:02.723,4.846,0.00,0.00,0.00,,
2018-08-09 17:16:02.739,4.862,0.00,0.00,0.00,,
2018-08-09 17:16:02.755,4.878,0.00,0.00,0.00,,
2018-08-09 17:16:02.771,4.894,0.00,0.00,0.00,,
2018-08-09 17:16:02.803,4.926,0.00,0.00,0.00,,
2018-08-09 17:16:02.819,4.942,0.00,0.00,0.00,,
2018-08-09 17:16:02.835,4.958,0.00,0.00,0.00,,
2018-08-09 17:16:02.851,4.974,0.00,0.00,0.00,,
2018-08-09 17:16:02.883,5.006,0.00,0.00,0.00,,
2018-08-09 17:16:02.899,5.022,0.00,0.00,0.00,,
2018-08-09 17:16:02.915,5.038,0.00,0.00,0.00,,
2018-08-09 17:16:02.931,5.054,0.00,0.00,0.00,,
2018-08-09 17:16:02.963,5.086,0.00,0.00,0.00,,
2018-08-09 17:16:02.979,5.102,0.00,0.00,0.00,,
2018-08-09 17:16:02.995,5.118,0.00,0.00,0.00,,
2018-08-09 17:16:03.011,5.134,0.00,0.00,0.00,,
2018-08-09 17:16:03.043,5.166,0.00,0.00,0.00,,
2018-08-09 17:16:03.059,5.182,0.00,0.00,0.00,,
2018-08-09 17:16:03.075,5.198,0.00,0.00,0.00,,
2018-08-09 17:16:03.091,5.214,0.00,0.00,0.00,,
2018-08-09 17:16:03.123,5.246,0.00,0.00,0.00,,
2018-08-09 17:16:03.139,5.262,0.00,0.00,0.00,,
2018-08-09 17:16:03.155,5.278,0.00,0.00,0.00,,
2018-08-09 17:16:03.171,5.294,0.00,0.00,0.00,,
2018-08-09 17:16:03.203,5.326,0.00,0.00,0.00,,
2018-08-09 17:16:03.219,5.342,0.00,0.00,0.00,,
2018-08-09 17:16:03.235,5.358,0.00,0.00,0.00,,
2018-08-09 17:16:03.251,5.374,0.00,0.00,0.00,,
2018-08-09 17:16:03.283,5.406,0.00,0.00,0.00,,
2018-08-09 17:16:26.800,28.923,0.00,0.00,0.00,,
2018-08-09 17:16:26.816,28.939,0.00,0.00,0.00,,
2018-08-09 17:16:26.848,28.971,0.00,0.00,0.00,,
2018-08-09 17:16:26.864,28.987,0.00,0.00,0.00,,
2018-08-09 17:16:26.880,29.003,0.00,0.00,0.00,,
2018-08-09 17:16:26.896,29.019,0.00,0.00,0.00,,
2018-08-09 17:16:26.928,29.051,0.00,0.00,0.00,,
2018-08-09 17:16:26.944,29.067,0.00,0.00,0.00,,
2018-08-09 17:16:26.960,29.083,0.00,0.00,0.00,,
2018-08-09 17:16:26.976,29.099,0.00,0.00,0.00,,
2018-08-09 17:16:27.008,29.131,0.00,0.00,0.00,,
2018-08-09 17:16:27.024,29.147,0.00,0.00,0.00,,
2018-08-09 17:16:27.040,29.163,0.00,0.00,0.00,,
2018-08-09 17:16:27.056,29.179,0.00,0.00,0.00,,
2018-08-09 17:16:27.088,29.211,0.00,0.00,0.00,,
2018-08-09 17:16:27.104,29.227,0.00,0.00,0.00,,
